hero_id,base_health_regen,base_armor,base_magic_resistance,base_attack_min,base_attack_max,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,attack_range,projectile_speed,attack_rate,move_speed,turn_rate,role_carry,role_disabler,role_durable,role_escape,role_initiator,role_jungler,role_nuker,role_pusher,role_support,primary_attr_agi,primary_attr_int,primary_attr_str,attack_type_melee,attack_type_ranged
72,1.5,1.0,25,13,23,18,24,19,2.1,2.8,2.1,365,3000,1.7,320,0.6,1,1,0,0,0,0,1,0,0,1,0,0,0,1
73,1.5,0.0,25,24,33,25,16,25,2.1,1.2,1.8,150,900,1.7,295,0.6,1,1,1,0,1,0,1,0,1,0,0,1,1,0
74,1.5,-1.0,25,19,25,16,14,16,2.2,1.9,4.0,600,900,1.7,280,0.5,1,1,0,1,0,0,1,1,0,0,1,0,0,1
75,1.5,-1.0,25,16,30,17,22,27,2.5,3.0,2.5,600,1000,1.7,295,0.6,1,1,0,0,1,0,1,0,1,0,1,0,0,1
76,1.5,0.5,25,14,29,19,24,26,2.6,2.0,2.7,450,900,1.7,315,0.5,1,1,0,0,0,0,1,0,0,0,1,0,0,1
77,1.5,1.0,25,36,41,25,16,17,3.3,1.0,1.55,150,900,1.7,305,0.5,1,0,1,1,0,1,0,1,0,0,0,1,1,0
78,2.0,-1.0,25,29,36,23,22,14,3.2,1.95,1.25,150,900,1.7,300,0.6,1,1,1,0,1,0,1,0,0,0,0,1,1,0
79,1.5,0.0,25,27,31,21,18,23,2.2,2.2,2.7,500,900,1.7,295,0.6,0,1,0,0,1,0,1,0,1,0,1,0,0,1
80,1.75,0.0,25,18,22,17,24,13,2.4,2.7,1.4,550,900,1.7,320,0.5,1,0,1,0,0,1,0,1,0,1,0,0,0,1
81,1.5,2.0,25,29,59,22,14,16,3.2,2.1,1.2,150,900,1.7,325,0.5,1,1,1,0,1,0,0,1,0,0,0,1,1,0
82,1.5,-1.0,25,20,26,23,23,20,1.6,2.2,1.6,150,900,1.7,310,0.65,1,1,0,1,1,0,1,1,0,1,0,0,1,0
83,1.5,-1.0,25,62,70,25,15,17,3.6,2.0,1.8,150,900,1.9,270,0.5,0,1,1,1,1,0,0,0,1,0,0,1,1,0
84,4.75,6.0,25,41,47,23,14,17,3.5,1.55,2.0,150,900,1.7,285,0.6,0,1,1,0,1,0,1,0,1,0,1,0,1,0
85,1.5,3.0,25,35,43,22,10,27,2.4,0.8,2.8,150,900,1.7,310,0.6,0,1,1,0,0,0,1,0,1,0,0,1,1,0
86,1.5,-1.0,25,17,27,19,14,27,1.8,1.6,2.4,550,1125,1.7,290,0.7,0,1,0,0,0,0,1,0,1,0,1,0,0,1
87,1.5,-1.0,25,27,31,19,15,22,2.2,1.4,2.5,600,1200,1.7,300,0.5,0,1,0,0,1,0,1,0,1,0,1,0,0,1
88,4.75,1.0,25,27,31,18,19,18,2.3,2.2,2.1,150,900,1.7,295,0.5,0,1,0,1,1,0,1,0,0,1,0,0,1,0
89,3.0,3.0,25,23,25,21,21,21,2.8,3.2,2.0,150,900,1.7,315,0.5,1,1,0,1,1,0,0,1,1,1,0,0,1,0
90,1.5,-1.0,25,18,25,14,15,25,2.1,1.6,2.8,600,900,1.7,335,0.5,0,1,0,0,0,1,1,0,1,0,1,0,0,1
91,1.5,-2.0,25,26,35,17,14,23,2.2,1.6,1.7,575,1200,1.7,295,0.7,0,0,0,1,0,0,1,0,1,0,0,1,0,1
92,1.5,-2.0,10,21,31,22,11,24,2.7,1.3,2.5,600,900,1.7,285,0.5,0,1,1,0,0,0,1,1,1,0,1,0,0,1
93,1.5,-1.0,25,33,41,20,21,16,1.9,1.5,1.7,150,0,1.7,295,0.5,1,1,0,1,0,0,1,0,0,1,0,0,1,0
94,1.5,-1.0,25,24,30,14,20,19,1.5,2.5,2.1,600,1200,1.7,285,0.5,1,1,1,0,0,0,0,0,0,1,0,0,0,1
95,1.5,-1.0,25,17,35,20,21,13,2.5,2.5,1.0,500,1200,1.7,295,0.5,1,1,1,0,0,0,0,1,0,1,0,0,0,1
96,1.5,0.0,25,32,34,23,15,15,4.3,1.0,1.6,150,900,1.7,300,0.5,0,1,1,1,1,0,1,0,0,0,0,1,1,0
97,2.0,2.0,25,32,44,21,15,19,3.2,2.5,1.65,150,900,1.8,310,0.8,0,1,0,1,1,0,1,0,0,0,0,1,1,0
98,1.5,-2.0,25,26,30,21,16,21,2.1,1.3,2.4,150,900,1.7,290,0.6,0,0,1,1,0,0,1,0,0,0,0,1,1,0
99,1.5,1.0,25,22,32,22,17,14,2.2,1.8,2.8,150,900,1.8,290,1.0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
100,1.5,0.0,25,27,31,23,23,18,3.0,2.1,1.7,150,900,1.7,300,0.7,0,1,0,0,1,0,1,0,0,0,0,1,1,0
101,1.5,-2.0,25,12,22,19,13,27,1.8,0.8,3.6,600,1000,1.7,330,0.5,0,1,0,0,0,0,1,0,1,0,1,0,0,1
102,1.5,-1.0,25,32,42,23,17,21,2.6,1.5,2.0,150,900,1.7,310,0.5,1,0,1,0,0,0,0,0,1,0,0,1,1,0
103,1.5,1.0,25,23,33,24,14,23,2.6,1.8,1.6,150,900,1.7,315,0.5,0,1,1,0,1,0,1,0,0,0,0,1,1,0
104,1.5,0.0,25,35,39,26,18,20,2.9,1.7,2.2,150,900,1.7,320,0.5,1,1,1,0,1,0,1,0,0,0,0,1,1,0
105,1.5,5.0,25,7,9,17,14,22,2.3,1.3,2.9,700,900,1.7,270,0.5,0,1,0,0,0,0,1,0,0,0,1,0,0,1
106,2.0,-2.0,25,30,34,19,22,20,2.1,1.8,1.8,150,900,1.7,305,0.5,1,1,0,1,1,0,1,0,0,1,0,0,1,0
107,1.5,1.0,25,25,35,21,17,18,3.2,1.5,2.1,150,900,1.7,290,0.6,0,1,1,1,1,0,1,0,0,0,0,1,1,0
108,1.5,2.0,25,37,43,25,12,17,2.9,1.3,2.6,150,900,1.7,290,0.6,0,1,1,1,0,0,1,0,1,0,0,1,1,0
109,3.25,7.0,25,26,32,15,22,19,1.7,3.2,1.6,150,900,1.5,310,0.5,1,0,0,0,0,0,1,1,0,1,0,0,1,0
110,1.5,-2.0,25,26,36,19,12,18,3.2,1.3,1.8,500,1100,1.7,285,1.0,0,1,0,1,1,0,1,0,1,0,0,1,0,1
111,1.5,0.0,25,16,22,18,15,23,2.2,1.7,2.9,620,900,1.4,305,0.5,0,1,0,1,0,0,1,0,1,0,1,0,0,1
112,1.5,-1.0,25,10,17,24,16,25,2.4,1.9,3.1,425,700,1.7,285,0.5,0,1,0,0,0,0,1,0,1,0,1,0,0,1
113,1.5,-2.0,25,29,39,24,15,24,3.0,1.8,2.6,625,900,1.7,280,0.6,1,0,0,1,0,0,1,0,0,1,0,0,0,1
114,3.0,-3.0,25,27,33,18,22,20,2.8,3.2,1.8,300,900,1.7,300,0.6,1,1,0,1,1,0,0,0,0,1,0,0,1,0
119,1.5,-1.0,25,25,33,18,18,20,1.8,1.6,3.0,475,1200,1.3,295,0.7,0,1,0,1,0,0,1,0,1,0,1,0,0,1
120,1.5,1.0,25,29,35,16,18,16,2.5,2.8,1.9,150,900,1.7,305,1.0,1,1,1,1,1,0,1,0,0,1,0,0,1,0
